statename,districtname,blockname,season,sector,category,crop,querytype,querytext,createdon,year,month,clean_query
TELANGANA,KARIMNAGAR,MOHADI,,HORTICULTURE,Scheme,Others,Market,Farmer asked about government subsidy for Tomato?,2025-02-06T17:43:00,2025,2,farmer asked about government subsidy for tomato
MADHYA PRADESH,INDORE,SAKOLI,,AGRICULTURE,Other,Others,Plant Protection,Farmer asked about crop insurance for Soybean?,2025-01-01T17:10:00,2025,1,farmer asked about crop insurance for soybean
MAHARASHTRA,NAGPUR,PUSAD,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about weed management in Cotton?,2025-02-28T07:22:00,2025,2,farmer asked about weed management in cotton
MADHYA PRADESH,UJJAIN,UMARKHED,,HORTICULTURE,Nutrient,Others,Government Schemes,Farmer asked about nutrient spray for flowering in Tomato?,2025-01-14T20:53:00,2025,1,farmer asked about nutrient spray for flowering in tomato
TELANGANA,KARIMNAGAR,RALEGAON,,AGRICULTURE,Market,Others,Market,Farmer asked about market rate of Tomato?,2025-03-25T01:01:00,2025,3,farmer asked about market rate of tomato
MAHARASHTRA,YAVATMAL,PUSAD,,HORTICULTURE,Other,Others,Market,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-03-03T16:19:00,2025,3,famer asked about how to store turmeric rhizomes
UTTAR PRADESH,KANPUR,MOHADI,,AGRICULTURE,Weather,Others,Nutrient Management,Farmer asked about weather impact on Soybean?,2025-03-18T19:24:00,2025,3,farmer asked about weather impact on soybean
UTTAR PRADESH,MEERUT,RALEGAON,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about crop insurance for Groundnut?,2025-02-07T17:29:00,2025,2,farmer asked about crop insurance for groundnut
UTTAR PRADESH,MEERUT,UMARKHED,,HORTICULTURE,Other,Others,Nutrient Management,Farmer asked about crop insurance for Watermelon?,2025-03-18T19:22:00,2025,3,farmer asked about crop insurance for watermelon
UTTAR PRADESH,KANPUR,SAKOLI,,AGRICULTURE,Nutrient,Others,Seeds,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-01-21T07:58:00,2025,1,farmer asked about fertilizer doses for citrus crop 
MADHYA PRADESH,BHOPAL,MOHADI,,HORTICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-03-03T09:33:00,2025,3,farmer asked about control of blight attack on paddy crop 
TELANGANA,WARANGAL,PUSAD,,AGRICULTURE,Weather,Others,Plant Protection,Farmer asked about weather impact on Maize?,2025-02-18T09:04:00,2025,2,farmer asked about weather impact on maize
UTTAR PRADESH,LUCKNOW,PAUNI,,HORTICULTURE,Nutrient,Others,Plant Protection,Farmer asked about nutrient spray for flowering in Orange?,2025-03-18T17:47:00,2025,3,farmer asked about nutrient spray for flowering in orange
UTTAR PRADESH,LUCKNOW,MOHADI,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-01-09T03:32:00,2025,1,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
TELANGANA,WARANGAL,RALEGAON,,HORTICULTURE,Market,Others,Seeds,Farmer asked about market rate of Onion?,2025-02-10T17:14:00,2025,2,farmer asked about market rate of onion
KARNATAKA,HUBBALLI,MOHADI,,AGRICULTURE,Nutrient,Others,Government Schemes,Farmer asked about nutrient spray for flowering in Onion?,2025-01-11T19:58:00,2025,1,farmer asked about nutrient spray for flowering in onion
KARNATAKA,MYSURU,MOHADI,,HORTICULTURE,Nutrient,Others,Weather,Farmer asked about nutrient spray for flowering in Groundnut?,2025-01-28T16:34:00,2025,1,farmer asked about nutrient spray for flowering in groundnut
TELANGANA,WARANGAL,MOHADI,,HORTICULTURE,Other,Others,Market,Farmer asked about sowing time of Pigeon pea?,2025-02-03T16:39:00,2025,2,farmer asked about sowing time of pigeon pea
MAHARASHTRA,WARDHA,PAUNI,,AGRICULTURE,Nutrient,Others,Weather,Farmer asked about fertilizer dose for Groundnut?,2025-01-20T05:28:00,2025,1,farmer asked about fertilizer dose for groundnut
MAHARASHTRA,YAVATMAL,MOHADI,,AGRICULTURE,Other,Others,Plant Protection,Farmer asked about sowing time of Groundnut?,2025-02-06T02:04:00,2025,2,farmer asked about sowing time of groundnut
UTTAR PRADESH,LUCKNOW,UMARKHED,,HORTICULTURE,Other,Others,Weather,Farmer asked about storage method for Bengal gram?,2025-02-06T07:50:00,2025,2,farmer asked about storage method for bengal gram
TELANGANA,WARANGAL,MOHADI,,AGRICULTURE,Nutrient,Others,Weather,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-02-09T03:30:00,2025,2,farmer asked about fertilizer doses for citrus crop 
KARNATAKA,MYSURU,PUSAD,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-01-10T06:54:00,2025,1,farmer asked about farmer id card problem
MADHYA PRADESH,UJJAIN,MOHADI,,HORTICULTURE,Market,Others,Market,Farmer asked about market rate of Watermelon?,2025-03-10T07:47:00,2025,3,farmer asked about market rate of watermelon
TELANGANA,KARIMNAGAR,PAUNI,,HORTICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT WHICH VARIETIES ARE SUTAIBLE FOR PIGEON PEA CROP PRODUCTION ?,2025-03-09T13:16:00,2025,3,farmer asked about which varieties are sutaible for pigeon pea crop production 
TELANGANA,KARIMNAGAR,RALEGAON,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about sowing time of Green gram?,2025-03-16T20:49:00,2025,3,farmer asked about sowing time of green gram
MADHYA PRADESH,BHOPAL,SAKOLI,,AGRICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-02-25T20:56:00,2025,2,farmer asked about agristack helpline number 
MAHARASHTRA,YAVATMAL,SAKOLI,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about irrigation schedule for Orange?,2025-01-04T17:04:00,2025,1,farmer asked about irrigation schedule for orange
TELANGANA,KARIMNAGAR,PUSAD,,AGRICULTURE,Weather,Others,Market,Farmer asked about weather impact on Orange?,2025-02-26T17:24:00,2025,2,farmer asked about weather impact on orange
MADHYA PRADESH,BHOPAL,RALEGAON,,AGRICULTURE,Other,Others,Plant Protection,Farmer asked about storage method for Turmeric?,2025-02-23T22:39:00,2025,2,farmer asked about storage method for turmeric
TELANGANA,WARANGAL,PUSAD,,AGRICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-03-10T18:14:00,2025,3,farmer asked about farmer id card problem
MAHARASHTRA,LATUR,RALEGAON,,AGRICULTURE,Other,Others,Seeds,Farmer asked about storage method for Bengal gram?,2025-01-10T02:29:00,2025,1,farmer asked about storage method for bengal gram
KARNATAKA,HUBBALLI,SAKOLI,,AGRICULTURE,Nutrient,Others,Market,Farmer asked about nutrient spray for flowering in Bengal gram?,2025-02-08T03:50:00,2025,2,farmer asked about nutrient spray for flowering in bengal gram
MAHARASHTRA,LATUR,MOHADI,,AGRICULTURE,Pest,Others,Market,Farmer asked about pest control in Onion?,2025-02-08T21:15:00,2025,2,farmer asked about pest control in onion
UTTAR PRADESH,KANPUR,UMARKHED,,HORTICULTURE,Weather,Others,Nutrient Management,Farmer asked about weather impact on Chilli?,2025-01-19T11:25:00,2025,1,farmer asked about weather impact on chilli
MAHARASHTRA,LATUR,SAKOLI,,AGRICULTURE,Weather,Others,Government Schemes,Farmer asked about weather impact on Onion?,2025-01-10T08:15:00,2025,1,farmer asked about weather impact on onion
MAHARASHTRA,LATUR,PAUNI,,AGRICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-03-18T14:58:00,2025,3,farmer asked about control of blight attack on paddy crop 
TELANGANA,KARIMNAGAR,SAKOLI,,HORTICULTURE,Other,Others,Seeds,Farmer asked about crop insurance for Maize?,2025-01-11T11:57:00,2025,1,farmer asked about crop insurance for maize
KARNATAKA,MYSURU,RALEGAON,,AGRICULTURE,Other,Others,Seeds,FARMER ASKED ABOUT KISAN CREDIT CARD?,2025-02-02T22:05:00,2025,2,farmer asked about kisan credit card
MADHYA PRADESH,INDORE,PAUNI,,HORTICULTURE,Nutrient,Others,Government Schemes,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-15T07:59:00,2025,3,farmer asked about fertilizer doses for citrus crop 
KARNATAKA,MYSURU,UMARKHED,,HORTICULTURE,Pest,Others,Weather,Farmer asked about pest control in Pigeon pea?,2025-02-10T02:38:00,2025,2,farmer asked about pest control in pigeon pea
UTTAR PRADESH,MEERUT,RALEGAON,,AGRICULTURE,Pest,Others,Weather,Farmer asked about disease management in Rice?,2025-03-23T11:36:00,2025,3,farmer asked about disease management in rice
KARNATAKA,HUBBALLI,PUSAD,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about weed management in Sugarcane?,2025-03-03T16:21:00,2025,3,farmer asked about weed management in sugarcane
UTTAR PRADESH,KANPUR,MOHADI,,AGRICULTURE,Other,Others,Seeds,Farmer asked about sowing time of Orange?,2025-02-19T11:39:00,2025,2,farmer asked about sowing time of orange
MADHYA PRADESH,INDORE,MOHADI,,AGRICULTURE,Nutrient,Others,Plant Protection,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-11T03:45:00,2025,3,farmer asked about fertilizer doses for citrus crop 
MADHYA PRADESH,UJJAIN,PUSAD,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about irrigation schedule for Turmeric?,2025-03-01T21:50:00,2025,3,farmer asked about irrigation schedule for turmeric
UTTAR PRADESH,LUCKNOW,MOHADI,,AGRICULTURE,Nutrient,Others,Weather,Farmer asked about nutrient spray for flowering in Green gram?,2025-02-01T11:18:00,2025,2,farmer asked about nutrient spray for flowering in green gram
TELANGANA,WARANGAL,SAKOLI,,AGRICULTURE,Other,Others,Market,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-03-08T13:47:00,2025,3,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
TELANGANA,KARIMNAGAR,MOHADI,,HORTICULTURE,Market,Others,Market,FARMER ASKED ABOUT MARKET INFORMATION OF SOYBEAN CROP FROM WARDHA MARKET ?,2025-02-06T16:30:00,2025,2,farmer asked about market information of soybean crop from wardha market 
KARNATAKA,BELAGAVI,PUSAD,,AGRICULTURE,Other,Others,Nutrient Management,Farmer asked about irrigation schedule for Chilli?,2025-02-08T19:15:00,2025,2,farmer asked about irrigation schedule for chilli
MADHYA PRADESH,UJJAIN,UMARKHED,,HORTICULTURE,Other,Others,Weather,Farmer asked about post harvest management in turmeric seed storage ?,2025-01-14T18:29:00,2025,1,farmer asked about post harvest management in turmeric seed storage 
MADHYA PRADESH,UJJAIN,RALEGAON,,HORTICULTURE,Market,Others,Weather,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-01-19T05:01:00,2025,1,farmer asked about market rate of bengal gram
TELANGANA,WARANGAL,PUSAD,,HORTICULTURE,Nutrient,Others,Nutrient Management,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-01-01T12:53:00,2025,1,farmer asked about use of nutrient application through spray for increasing size and quality of onion 
TELANGANA,WARANGAL,RALEGAON,,AGRICULTURE,Other,Others,Market,Farmer asked about crop insurance for Cotton?,2025-03-01T21:39:00,2025,3,farmer asked about crop insurance for cotton
MADHYA PRADESH,UJJAIN,PAUNI,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about weed management in Sesame?,2025-01-24T04:38:00,2025,1,farmer asked about weed management in sesame
MADHYA PRADESH,BHOPAL,PAUNI,,HORTICULTURE,Other,Others,Market,Farmer asked about crop insurance for Green gram?,2025-01-08T16:08:00,2025,1,farmer asked about crop insurance for green gram
TELANGANA,KARIMNAGAR,UMARKHED,,HORTICULTURE,Other,Others,Market,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-01-04T09:19:00,2025,1,famer asked about how to store turmeric rhizomes
KARNATAKA,MYSURU,RALEGAON,,AGRICULTURE,Scheme,Others,Weather,Farmer asked about government subsidy for Groundnut?,2025-02-02T21:21:00,2025,2,farmer asked about government subsidy for groundnut
MADHYA PRADESH,INDORE,MOHADI,,AGRICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-03-04T12:31:00,2025,3,farmer asked about pradhanmantri fasal bima yojana helpline number
MAHARASHTRA,LATUR,RALEGAON,,HORTICULTURE,Other,Others,Government Schemes,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-03-02T01:05:00,2025,3,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
UTTAR PRADESH,MEERUT,PUSAD,,AGRICULTURE,Other,Others,Seeds,Farmer asked about post harvest management in turmeric seed storage ?,2025-03-18T22:10:00,2025,3,farmer asked about post harvest management in turmeric seed storage 
KARNATAKA,BELAGAVI,UMARKHED,,AGRICULTURE,Scheme,Others,Seeds,Farmer asked about government subsidy for Groundnut?,2025-02-25T01:03:00,2025,2,farmer asked about government subsidy for groundnut
MADHYA PRADESH,UJJAIN,SAKOLI,,HORTICULTURE,Other,Others,Market,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-01-29T18:12:00,2025,1,farmer asked about pradhanmantri fasal bima yojana helpline number
MADHYA PRADESH,INDORE,MOHADI,,AGRICULTURE,Scheme,Others,Government Schemes,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-13T14:50:00,2025,2,farmer asked about drip irrigation schemes 
MADHYA PRADESH,INDORE,MOHADI,,AGRICULTURE,Other,Others,Seeds,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-02-06T11:59:00,2025,2,famer asked about how to store turmeric rhizomes
KARNATAKA,MYSURU,PAUNI,,AGRICULTURE,Other,Others,Plant Protection,Farmer asked about irrigation schedule for Maize?,2025-02-16T01:33:00,2025,2,farmer asked about irrigation schedule for maize
UTTAR PRADESH,MEERUT,PUSAD,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT SOWING TIME TURMERIC CROP?,2025-02-07T20:21:00,2025,2,farmer asked about sowing time turmeric crop
MADHYA PRADESH,BHOPAL,SAKOLI,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about crop insurance for Onion?,2025-02-09T04:07:00,2025,2,farmer asked about crop insurance for onion
MAHARASHTRA,YAVATMAL,PUSAD,,HORTICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-03-14T17:09:00,2025,3,farmer asked about farmer id card problem
MAHARASHTRA,YAVATMAL,RALEGAON,,AGRICULTURE,Nutrient,Others,Nutrient Management,Farmer asked about nutrient spray for flowering in Onion?,2025-03-07T10:42:00,2025,3,farmer asked about nutrient spray for flowering in onion
MADHYA PRADESH,BHOPAL,PUSAD,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-01-14T01:34:00,2025,1,farmer asked about farmer id card problem
KARNATAKA,BELAGAVI,SAKOLI,,AGRICULTURE,Weather,Others,Weather,Farmer asked about weather impact on Turmeric?,2025-01-24T07:51:00,2025,1,farmer asked about weather impact on turmeric
TELANGANA,KARIMNAGAR,RALEGAON,,AGRICULTURE,Scheme,Others,Seeds,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-03-16T15:52:00,2025,3,farmer asked about drip irrigation schemes 
UTTAR PRADESH,KANPUR,PAUNI,,HORTICULTURE,Scheme,Others,Market,Farmer asked about government subsidy for Sesame?,2025-01-01T02:42:00,2025,1,farmer asked about government subsidy for sesame
TELANGANA,WARANGAL,SAKOLI,,HORTICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-02-17T12:09:00,2025,2,farmer asked about agristack helpline number 
KARNATAKA,HUBBALLI,SAKOLI,,AGRICULTURE,Other,Others,Nutrient Management,Farmer asked about crop insurance for Cotton?,2025-02-16T19:35:00,2025,2,farmer asked about crop insurance for cotton
UTTAR PRADESH,LUCKNOW,UMARKHED,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about irrigation schedule for Maize?,2025-02-21T13:54:00,2025,2,farmer asked about irrigation schedule for maize
UTTAR PRADESH,MEERUT,UMARKHED,,HORTICULTURE,Nutrient,Others,Nutrient Management,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-01-26T05:45:00,2025,1,farmer asked about fertilizer dose for soybean crop
MAHARASHTRA,WARDHA,SAKOLI,,AGRICULTURE,Nutrient,Others,Seeds,Farmer asked about fertilizer dose for Green gram?,2025-03-09T20:18:00,2025,3,farmer asked about fertilizer dose for green gram
TELANGANA,KARIMNAGAR,RALEGAON,,AGRICULTURE,Pest,Others,Plant Protection,Farmer asked about disease management in Bengal gram?,2025-03-20T13:58:00,2025,3,farmer asked about disease management in bengal gram
KARNATAKA,HUBBALLI,MOHADI,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT CONTROL BLIGHT ATTACK IN GREEN GRAM ?,2025-03-10T09:06:00,2025,3,farmer asked about control blight attack in green gram 
KARNATAKA,MYSURU,PAUNI,,HORTICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT SOWING TIME TURMERIC CROP?,2025-01-10T08:23:00,2025,1,farmer asked about sowing time turmeric crop
MADHYA PRADESH,UJJAIN,PAUNI,,HORTICULTURE,Scheme,Others,Plant Protection,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-20T00:33:00,2025,2,farmer asked about drip irrigation schemes 
KARNATAKA,HUBBALLI,PAUNI,,HORTICULTURE,Pest,Others,Market,Farmer asked about disease management in Green gram?,2025-02-18T02:29:00,2025,2,farmer asked about disease management in green gram
TELANGANA,KARIMNAGAR,RALEGAON,,HORTICULTURE,Other,Others,Nutrient Management,Farmer asked about storage method for Maize?,2025-01-28T15:40:00,2025,1,farmer asked about storage method for maize
